epoch,train_loss,val_loss,dice_mean,dice_RV,dice_myocardium,dice_LV,lr,seconds
1,1.7495,1.1332,0.1475,0.0611,0.1094,0.2722,0.000998,38.6
2,0.9162,0.7679,0.3115,0.0011,0.4066,0.5268,0.000994,37.8
3,0.7258,0.6423,0.4026,0.0681,0.5603,0.5793,0.000986,38.0
4,0.6103,0.5197,0.5524,0.2978,0.6452,0.7143,0.000976,37.8
5,0.4816,0.4162,0.6848,0.6029,0.6569,0.7946,0.000962,37.8
6,0.391,0.3618,0.7221,0.6496,0.7004,0.8163,0.000946,37.9
7,0.3302,0.283,0.7931,0.7579,0.7655,0.856,0.000926,37.8
8,0.2998,0.2603,0.8036,0.7691,0.776,0.8656,0.000905,37.7
9,0.27,0.2522,0.8049,0.777,0.7641,0.8736,0.00088,37.8
10,0.2523,0.2633,0.7895,0.7703,0.7604,0.8378,0.000854,37.9
11,0.2412,0.2112,0.8461,0.823,0.8201,0.8953,0.000825,37.8
12,0.2304,0.2141,0.8414,0.8209,0.8113,0.8919,0.000794,1098.9
13,0.2258,0.2027,0.8524,0.8257,0.8258,0.9056,0.000761,38.0
14,0.2227,0.2179,0.8342,0.8072,0.804,0.8913,0.000727,37.8
15,0.2165,0.2038,0.8506,0.8254,0.8247,0.9019,0.000691,37.7
16,0.2075,0.1955,0.8583,0.8376,0.8353,0.9019,0.000655,37.8
17,0.2038,0.193,0.8617,0.8374,0.841,0.9067,0.000617,37.7
18,0.2058,0.1916,0.859,0.8375,0.8439,0.8956,0.000578,37.8
19,0.1974,0.1925,0.8581,0.8325,0.8415,0.9002,0.000539,37.8
20,0.1966,0.1844,0.8678,0.8458,0.8502,0.9074,0.0005,37.7
21,0.1913,0.1843,0.8685,0.8478,0.849,0.9089,0.000461,37.9
22,0.189,0.185,0.8672,0.8429,0.8486,0.9101,0.000422,37.9
23,0.1895,0.1881,0.8623,0.8468,0.8385,0.9017,0.000383,37.8
24,0.188,0.1825,0.8678,0.8487,0.8502,0.9044,0.000345,37.8
25,0.1827,0.1769,0.8744,0.852,0.8584,0.9128,0.000309,37.8
26,0.1825,0.1832,0.8684,0.8565,0.8448,0.904,0.000273,38.0
27,0.1823,0.1796,0.8716,0.8553,0.8519,0.9076,0.000239,41.3
28,0.1789,0.1747,0.875,0.8547,0.8575,0.9128,0.000206,42.0
29,0.1769,0.1739,0.8789,0.8638,0.8592,0.9137,0.000175,41.6
30,0.1767,0.1718,0.8792,0.8607,0.8615,0.9154,0.000146,41.8
31,0.1755,0.1714,0.8783,0.8561,0.8619,0.9167,0.00012,42.6
32,0.1737,0.1708,0.8804,0.8619,0.8649,0.9143,9.5e-05,42.3
33,0.1734,0.1702,0.8797,0.8621,0.8628,0.9144,7.4e-05,42.6
34,0.1721,0.1694,0.8798,0.861,0.8643,0.914,5.4e-05,42.6
35,0.1721,0.1702,0.8793,0.8604,0.862,0.9153,3.8e-05,42.9
36,0.1718,0.1698,0.8796,0.8627,0.863,0.913,2.4e-05,43.2
37,0.1714,0.1698,0.8792,0.8615,0.8635,0.9125,1.4e-05,43.1
38,0.1712,0.1685,0.8811,0.8627,0.865,0.9157,6e-06,42.4
39,0.171,0.1686,0.8808,0.862,0.8647,0.9156,2e-06,41.0
40,0.1708,0.1687,0.8807,0.8619,0.8645,0.9156,0.0,40.8
